central,fecha,tipo_evento,duracion_horas,observacion
Eolica Loma Larga,2024-04-19,correctivo,34,La espera de un repuesto importado en el equipo intervenido en taller. Se completa la reparacion dentro del plazo comprometido.
Eolica Loma Larga,2024-04-21,correctivo,14,El operador reporta reincidencia de la falla anterior; se revisa la cuadrilla de intervencion y se instala el repuesto y se ejecutan las pruebas de normalizacion.
Termoelectrica Peninsula Gris,2024-04-21,falla_mecanica,67,Se purga el circuito de lubricacion y se ajusta el torque tras detectar temperatura elevada en el descanso en el acoplamiento del generador.
Central Lago Ventisquero,2024-04-22,correctivo,28,Evento por indisponibilidad forzada de la unidad en la unidad fuera de servicio; la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Eolica Cerro Negro,2024-04-22,preventivo,12,Se detecta el vencimiento de la pauta periodica en la pauta de rutina trimestral; se ajusta el torque de los pernos y se limpia el tablero.
Eolica Punta Ventosa,2024-04-22,evento_climatico,10,Nevada intensa en el acceso en el sistema de orientacion. Se detiene la unidad por viento y se espera mejor tiempo.
Termoelectrica Bahia Norte,2024-04-24,preventivo,5,Se detecta el vencimiento de la pauta periodica en el filtro de admision; se repone la disponibilidad de la unidad dentro del plazo.
Central Rio Manso Alto,2024-04-25,falla_electrica,47,Se registra corriente de fuga elevada en el interruptor principal durante la ronda del turno.
Central Rio Manso Alto,2024-04-26,correctivo,8,Durante el turno: una reparacion mayor pendiente en el conjunto reparado en terreno; la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Diesel Respaldo Cordillera,2024-04-27,preventivo,21,Se registra las horas de operacion acumuladas en el tablero de control durante la ronda del turno.
Termoelectrica Valle Central,2024-04-27,preventivo,16,Se registra el cumplimiento del programa de mantenimiento en el tablero de control durante la ronda del turno.
Eolica Cerro Negro,2024-04-28,preventivo,12,Las horas de operacion acumuladas en el calendario de disponibilidad. Se repone la disponibilidad de la unidad dentro del plazo.
Parque Solar Salar Nuevo,2024-04-28,evento_climatico,22,El operador reporta rafagas de viento sobre el limite operativo; se revisa la torre de medicion de viento y se inspecciona la estructura despues del frente de mal tiempo.
Parque Solar Salar Nuevo,2024-04-28,falla_mecanica,85,Se purga el circuito de lubricacion y se ajusta el torque tras detectar perdida de presion de aceite en el sistema de refrigeracion.
Eolica Loma Larga,2024-04-29,evento_climatico,7,Evento por una tormenta electrica en la zona en la linea de evacuacion; se inspecciona la estructura despues del frente de mal tiempo.
Parque Solar Llano Blanco,2024-04-29,inspeccion,8,Se detecta una desviacion leve del parametro medido en la endoscopia del ducto; se completa el checklist sin desviaciones relevantes.
Parque Solar Media Luna,2024-04-29,preventivo,19,El vencimiento de la pauta periodica en el plan anual de la unidad. Se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Pampa Alta,2024-04-30,inspeccion,1,Se completa el checklist sin desviaciones relevantes tras detectar un hallazgo menor sin indisponibilidad en el checklist del recorrido.
Parque Solar Cerro Dorado,2024-05-01,falla_mecanica,44,Se detecta vibracion excesiva en el eje en el sello mecanico; se reemplaza el rodamiento y se realinea el eje.
Parque Solar Media Luna,2024-05-01,preventivo,10,Se registra las horas de operacion acumuladas en el circuito de aceite durante la ronda del turno.
Termoelectrica Bahia Norte,2024-05-01,correctivo,14,El operador reporta indisponibilidad forzada de la unidad; se revisa la unidad fuera de servicio y se repara el conjunto y se realiza la puesta en marcha.
Central Salto del Pehuen,2024-05-02,evento_climatico,20,El operador reporta una tormenta electrica en la zona; se revisa la torre de medicion de viento y se descongelan las palas antes de reanudar la operacion.
Termoelectrica Costa Brava,2024-05-03,correctivo,24,Indisponibilidad forzada de la unidad en el repuesto critico de bodega. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Termoelectrica Costa Brava,2024-05-05,correctivo,67,El operador reporta reincidencia de la falla anterior; se revisa el modulo reemplazado y se repara el conjunto y se realiza la puesta en marcha.
Central Rio Manso Alto,2024-05-06,falla_electrica,37,Se reconecta el interruptor tras verificar la aislacion tras detectar sobretension sostenida en el pararrayos del patio.
Central Rio Manso Alto,2024-05-07,correctivo,42,Se detecta reincidencia de la falla anterior en el repuesto critico de bodega; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Parque Solar Media Luna,2024-05-07,inspeccion,4,Se registra un hallazgo menor sin indisponibilidad en la endoscopia del ducto durante la ronda del turno.
Eolica Cerro Negro,2024-05-08,falla_mecanica,67,Se registra temperatura elevada en el descanso en la caja multiplicadora durante la ronda del turno.
Central Quebrada Azul,2024-05-10,evento_climatico,12,Evento por lluvia y humedad extrema en el aerogenerador del sector norte; se despeja el acceso tras la nevada y se revisa la torre.
Central Quebrada Azul,2024-05-10,falla_mecanica,60,Durante el turno: perdida de presion de aceite en el sello mecanico; se reemplaza el rodamiento y se realinea el eje.
Eolica Punta Ventosa,2024-05-11,preventivo,18,El operador reporta el vencimiento de la pauta periodica; se revisa el tablero de control y se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Costa Brava,2024-05-12,correctivo,34,El operador reporta una reparacion mayor pendiente; se revisa el equipo intervenido en taller y se instala el repuesto y se ejecutan las pruebas de normalizacion.
Diesel Respaldo Cordillera,2024-05-13,evento_climatico,35,Evento por nevada intensa en el acceso en el aerogenerador del sector norte; se descongelan las palas antes de reanudar la operacion.
Eolica Cerro Negro,2024-05-13,evento_climatico,9,Se detecta acumulacion de hielo en las palas en el anemometro de la gondola; se despeja el acceso tras la nevada y se revisa la torre.
Eolica Cerro Negro,2024-05-13,falla_mecanica,88,El operador reporta vibracion excesiva en el eje; se revisa el rodamiento del eje principal y se reemplaza el rodamiento y se realinea el eje.
Parque Solar Pampa Alta,2024-05-13,preventivo,18,El operador reporta el cumplimiento del programa de mantenimiento; se revisa el plan anual de la unidad y se repone la disponibilidad de la unidad dentro del plazo.
Termoelectrica Puerto Nuevo,2024-05-14,inspeccion,6,Se registra una lectura dentro de tolerancia en el registro fotografico de la unidad durante la ronda del turno.
Eolica Loma Larga,2024-05-15,evento_climatico,13,Se detecta lluvia y humedad extrema en el anemometro de la gondola; se despeja el acceso tras la nevada y se revisa la torre.
Eolica Loma Larga,2024-05-15,falla_mecanica,71,Se equilibra el rotor y se repite la medicion de vibracion tras detectar fatiga del material en el alabe en la caja multiplicadora.
Eolica Vientos del Sur,2024-05-15,evento_climatico,4,El operador reporta nevada intensa en el acceso; se revisa la linea de evacuacion y se detiene la unidad por viento y se espera mejor tiempo.
Eolica Vientos del Sur,2024-05-15,falla_mecanica,38,Se detecta desgaste anormal del rodamiento en la bomba de lubricacion; se reemplaza el rodamiento y se realinea el eje.
Central Lago Ventisquero,2024-05-16,preventivo,17,Durante el turno: el vencimiento de la pauta periodica en la pauta de rutina trimestral; se ajusta el torque de los pernos y se limpia el tablero.
Eolica Punta Ventosa,2024-05-16,evento_climatico,19,Evento por una tormenta electrica en la zona en la linea de evacuacion; se descongelan las palas antes de reanudar la operacion.
Termoelectrica Bahia Norte,2024-05-16,preventivo,13,Se registra el vencimiento de la pauta periodica en el filtro de admision durante la ronda del turno.
Eolica Cerro Negro,2024-05-17,preventivo,19,Se ajusta el torque de los pernos y se limpia el tablero tras detectar las horas de operacion acumuladas en el filtro de admision.
Termoelectrica Peninsula Gris,2024-05-18,inspeccion,6,Durante el turno: una observacion levantada en auditoria en el informe de termografia; se registra la medicion en la ficha de la unidad.
Termoelectrica Valle Central,2024-05-18,evento_climatico,35,Se descongelan las palas antes de reanudar la operacion tras detectar rafagas de viento sobre el limite operativo en la torre de medicion de viento.
Eolica Loma Larga,2024-05-21,inspeccion,1,Se registra una desviacion leve del parametro medido en el parametro fuera de tolerancia durante la ronda del turno.
Central Salto del Pehuen,2024-05-23,preventivo,11,Durante el turno: las horas de operacion acumuladas en el filtro de admision; se repone la disponibilidad de la unidad dentro del plazo.
Eolica Punta Ventosa,2024-05-23,inspeccion,3,Se registra la medicion en la ficha de la unidad tras detectar un hallazgo menor sin indisponibilidad en el registro fotografico de la unidad.
Termoelectrica Peninsula Gris,2024-05-23,falla_mecanica,46,El operador reporta perdida de presion de aceite; se revisa la bomba de lubricacion y se cambia el sello y se verifica la estanqueidad.
Termoelectrica Puerto Nuevo,2024-05-23,preventivo,7,El operador reporta el cumplimiento del programa de mantenimiento; se revisa el filtro de admision y se ejecuta la rutina programada y se actualiza el calendario.
Eolica Cerro Negro,2024-05-24,evento_climatico,24,Se detiene la unidad por viento y se espera mejor tiempo tras detectar una tormenta electrica en la zona en la linea de evacuacion.
Termoelectrica Bahia Norte,2024-05-24,falla_mecanica,38,El operador reporta temperatura elevada en el descanso; se revisa el acoplamiento del generador y se purga el circuito de lubricacion y se ajusta el torque.
Eolica Punta Ventosa,2024-05-25,evento_climatico,15,El operador reporta granizo sobre la estructura; se revisa el aerogenerador del sector norte y se inspecciona la estructura despues del frente de mal tiempo.
Eolica Punta Ventosa,2024-05-25,falla_mecanica,24,Durante el turno: fatiga del material en el alabe en el sello mecanico; se purga el circuito de lubricacion y se ajusta el torque.
Central Salto del Pehuen,2024-05-26,inspeccion,2,Un hallazgo menor sin indisponibilidad en la endoscopia del ducto. Se completa el checklist sin desviaciones relevantes.
Central Rio Manso Alto,2024-05-28,inspeccion,7,El operador reporta una desviacion leve del parametro medido; se revisa el checklist del recorrido y se completa el checklist sin desviaciones relevantes.
Eolica Cerro Negro,2024-05-29,evento_climatico,9,Se registra rafagas de viento sobre el limite operativo en el sistema de orientacion durante la ronda del turno.
Parque Solar Media Luna,2024-05-30,evento_climatico,4,Durante el turno: rafagas de viento sobre el limite operativo en el anemometro de la gondola; se detiene la unidad por viento y se espera mejor tiempo.
Parque Solar Media Luna,2024-05-30,falla_mecanica,82,Se detecta perdida de presion de aceite en el acoplamiento del generador; se cambia el sello y se verifica la estanqueidad.
Termoelectrica Peninsula Gris,2024-05-30,falla_mecanica,85,Durante el turno: desgaste anormal del rodamiento en el rodamiento del eje principal; se reemplaza el rodamiento y se realinea el eje.
Termoelectrica Puerto Nuevo,2024-05-30,falla_electrica,47,Se reconecta el interruptor tras verificar la aislacion tras detectar sobretension sostenida en el alimentador de la subestacion.
Central Vega Escondida,2024-05-31,preventivo,8,Se detecta el ciclo de limpieza programado en el circuito de aceite; se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Media Luna,2024-05-31,inspeccion,2,Evento por una lectura dentro de tolerancia en el registro fotografico de la unidad; se documenta el hallazgo y se emite el informe correspondiente.
Eolica Loma Larga,2024-06-01,falla_electrica,32,Se reconecta el interruptor tras verificar la aislacion tras detectar corriente de fuga elevada en el interruptor principal.
Eolica Vientos del Sur,2024-06-02,evento_climatico,31,Se inspecciona la estructura despues del frente de mal tiempo tras detectar una tormenta electrica en la zona en el aerogenerador del sector norte.
Eolica Vientos del Sur,2024-06-02,falla_mecanica,35,Perdida de presion de aceite en el alabe del rotor. Se reemplaza el rodamiento y se realinea el eje.
Parque Solar Cerro Dorado,2024-06-02,falla_mecanica,37,Se reemplaza el rodamiento y se realinea el eje tras detectar temperatura elevada en el descanso en el sistema de refrigeracion.
Termoelectrica Puerto Nuevo,2024-06-02,correctivo,63,Evento por la espera de un repuesto importado en el modulo reemplazado; se repara el conjunto y se realiza la puesta en marcha.
Central Rio Manso Alto,2024-06-03,inspeccion,2,El operador reporta una observacion levantada en auditoria; se revisa el parametro fuera de tolerancia y se documenta el hallazgo y se emite el informe correspondiente.
Central Vega Escondida,2024-06-03,correctivo,59,Indisponibilidad forzada de la unidad en el equipo intervenido en taller. Se completa la reparacion dentro del plazo comprometido.
Parque Solar Pampa Alta,2024-06-03,falla_electrica,34,Evento por un cortocircuito monofasico en el pararrayos del patio; se reemplaza el rele y se recalibra la proteccion.
Central Quebrada Azul,2024-06-04,evento_climatico,27,Se descongelan las palas antes de reanudar la operacion tras detectar acumulacion de hielo en las palas en la estructura del parque.
Central Quebrada Azul,2024-06-04,falla_mecanica,29,Se registra vibracion excesiva en el eje en el alabe del rotor durante la ronda del turno.
Diesel Respaldo Cordillera,2024-06-04,preventivo,12,Evento por el ciclo de limpieza programado en la pauta de rutina trimestral; se cambia el aceite y el filtro segun la pauta del fabricante.
Eolica Punta Ventosa,2024-06-04,evento_climatico,20,Se detecta lluvia y humedad extrema en la estructura del parque; se despeja el acceso tras la nevada y se revisa la torre.
Eolica Punta Ventosa,2024-06-04,falla_mecanica,28,Se detecta perdida de presion de aceite en el acoplamiento del generador; se reemplaza el rodamiento y se realinea el eje.
Termoelectrica Bahia Norte,2024-06-04,evento_climatico,14,El operador reporta rafagas de viento sobre el limite operativo; se revisa el aerogenerador del sector norte y se despeja el acceso tras la nevada y se revisa la torre.
Central Rio Manso Alto,2024-06-05,preventivo,17,Se registra el ciclo de limpieza programado en el calendario de disponibilidad durante la ronda del turno.
Central Vega Escondida,2024-06-05,falla_mecanica,22,Se detecta desalineamiento del acoplamiento en el acoplamiento del generador; se reemplaza el rodamiento y se realinea el eje.
Eolica Vientos del Sur,2024-06-08,evento_climatico,24,Se detecta acumulacion de hielo en las palas en la torre de medicion de viento; se descongelan las palas antes de reanudar la operacion.
Parque Solar Cerro Dorado,2024-06-08,preventivo,4,Se detecta el cumplimiento del programa de mantenimiento en el tablero de control; se ejecuta la rutina programada y se actualiza el calendario.
Parque Solar Pampa Alta,2024-06-09,preventivo,24,Durante el turno: el vencimiento de la pauta periodica en el calendario de disponibilidad; se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Puerto Nuevo,2024-06-09,inspeccion,6,Se registra un hallazgo menor sin indisponibilidad en el checklist del recorrido durante la ronda del turno.
Parque Solar Salar Nuevo,2024-06-10,falla_mecanica,52,Se detecta desgaste anormal del rodamiento en el acoplamiento del generador; se purga el circuito de lubricacion y se ajusta el torque.
Eolica Loma Larga,2024-06-11,falla_electrica,34,Durante el turno: corriente de fuga elevada en el banco de condensadores; se aisla el circuito y se normaliza la tension.
Parque Solar Media Luna,2024-06-12,falla_electrica,37,Se aisla el circuito y se normaliza la tension tras detectar un arco electrico en el borne en el rele de proteccion.
Parque Solar Media Luna,2024-06-12,correctivo,10,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar indisponibilidad forzada de la unidad en el conjunto reparado en terreno.
Termoelectrica Costa Brava,2024-06-12,falla_mecanica,18,Vibracion excesiva en el eje en el alabe del rotor. Se reemplaza el rodamiento y se realinea el eje.
Diesel Respaldo Cordillera,2024-06-13,evento_climatico,13,El operador reporta lluvia y humedad extrema; se revisa la torre de medicion de viento y se despeja el acceso tras la nevada y se revisa la torre.
Diesel Respaldo Cordillera,2024-06-13,falla_mecanica,43,El operador reporta desalineamiento del acoplamiento; se revisa el rodamiento del eje principal y se reemplaza el rodamiento y se realinea el eje.
Eolica Loma Larga,2024-06-13,correctivo,7,Se registra una reparacion mayor pendiente en el equipo intervenido en taller durante la ronda del turno.
Eolica Punta Ventosa,2024-06-13,inspeccion,2,Evento por una lectura dentro de tolerancia en el informe de termografia; se registra la medicion en la ficha de la unidad.
Parque Solar Salar Nuevo,2024-06-13,preventivo,4,El vencimiento de la pauta periodica en el plan anual de la unidad. Se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Costa Brava,2024-06-13,preventivo,23,El cumplimiento del programa de mantenimiento en el calendario de disponibilidad. Se ejecuta la rutina programada y se actualiza el calendario.
Termoelectrica Valle Central,2024-06-13,inspeccion,4,Se detecta una lectura dentro de tolerancia en el informe de termografia; se registra la medicion en la ficha de la unidad.
Termoelectrica Valle Central,2024-06-13,preventivo,11,El cumplimiento del programa de mantenimiento en el circuito de aceite. Se ajusta el torque de los pernos y se limpia el tablero.
Parque Solar Salar Nuevo,2024-06-15,falla_electrica,32,Se detecta corriente de fuga elevada en el pararrayos del patio; se reemplaza el rele y se recalibra la proteccion.
Termoelectrica Puerto Nuevo,2024-06-15,preventivo,11,El operador reporta las horas de operacion acumuladas; se revisa el tablero de control y se ejecuta la rutina programada y se actualiza el calendario.
Central Salto del Pehuen,2024-06-16,inspeccion,4,Evento por una observacion levantada en auditoria en el informe de termografia; se completa el checklist sin desviaciones relevantes.
Eolica Cerro Negro,2024-06-16,evento_climatico,29,El operador reporta granizo sobre la estructura; se revisa el anemometro de la gondola y se inspecciona la estructura despues del frente de mal tiempo.
Eolica Cerro Negro,2024-06-16,falla_mecanica,48,Se reemplaza el rodamiento y se realinea el eje tras detectar temperatura elevada en el descanso en la caja multiplicadora.
Termoelectrica Puerto Nuevo,2024-06-16,correctivo,68,Se registra reincidencia de la falla anterior en el conjunto reparado en terreno durante la ronda del turno.
Termoelectrica Peninsula Gris,2024-06-17,inspeccion,4,Durante el turno: una observacion levantada en auditoria en la endoscopia del ducto; se registra la medicion en la ficha de la unidad.
Central Quebrada Azul,2024-06-19,inspeccion,1,El operador reporta un hallazgo menor sin indisponibilidad; se revisa el informe de termografia y se levanta la observacion y se programa el seguimiento.
Parque Solar Media Luna,2024-06-19,falla_electrica,5,Evento por el disparo de la proteccion diferencial en el interruptor principal; se energiza la barra en forma escalonada.
Termoelectrica Valle Central,2024-06-20,correctivo,28,Se detecta una reparacion mayor pendiente en el conjunto reparado en terreno; se completa la reparacion dentro del plazo comprometido.
Central Quebrada Azul,2024-06-21,inspeccion,2,Evento por una lectura dentro de tolerancia en el parametro fuera de tolerancia; se levanta la observacion y se programa el seguimiento.
Central Quebrada Azul,2024-06-21,falla_mecanica,14,Durante el turno: temperatura elevada en el descanso en la bomba de lubricacion; se reemplaza el rodamiento y se realinea el eje.
Termoelectrica Puerto Nuevo,2024-06-21,preventivo,4,Se registra las horas de operacion acumuladas en el plan anual de la unidad durante la ronda del turno.
Eolica Loma Larga,2024-06-22,evento_climatico,5,Durante el turno: rafagas de viento sobre el limite operativo en el sistema de orientacion; se inspecciona la estructura despues del frente de mal tiempo.
Parque Solar Cerro Dorado,2024-06-22,correctivo,20,Reincidencia de la falla anterior en el repuesto critico de bodega. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Termoelectrica Bahia Norte,2024-06-23,preventivo,5,Se registra el cumplimiento del programa de mantenimiento en el circuito de aceite durante la ronda del turno.
Termoelectrica Valle Central,2024-06-23,correctivo,24,Se detecta indisponibilidad forzada de la unidad en la cuadrilla de intervencion; se instala el repuesto y se ejecutan las pruebas de normalizacion.
Diesel Respaldo Cordillera,2024-06-24,correctivo,16,Indisponibilidad forzada de la unidad en el equipo intervenido en taller. Se repara el conjunto y se realiza la puesta en marcha.
Parque Solar Cerro Dorado,2024-06-24,correctivo,49,Se registra una reparacion mayor pendiente en el repuesto critico de bodega durante la ronda del turno.
Eolica Loma Larga,2024-06-25,evento_climatico,12,Evento por acumulacion de hielo en las palas en la torre de medicion de viento; se descongelan las palas antes de reanudar la operacion.
Eolica Punta Ventosa,2024-06-25,evento_climatico,5,Se registra rafagas de viento sobre el limite operativo en el aerogenerador del sector norte durante la ronda del turno.
Parque Solar Salar Nuevo,2024-06-25,falla_electrica,13,Se aisla el circuito y se normaliza la tension tras detectar sobretension sostenida en la barra de media tension.
Central Rio Manso Alto,2024-06-26,falla_electrica,42,El operador reporta el disparo de la proteccion diferencial; se revisa el alimentador de la subestacion y se reconecta el interruptor tras verificar la aislacion.
Diesel Respaldo Cordillera,2024-06-26,correctivo,31,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar reincidencia de la falla anterior en el modulo reemplazado.
Eolica Punta Ventosa,2024-06-26,evento_climatico,13,El operador reporta una tormenta electrica en la zona; se revisa el anemometro de la gondola y se inspecciona la estructura despues del frente de mal tiempo.
Eolica Punta Ventosa,2024-06-26,falla_mecanica,59,Se reemplaza el rodamiento y se realinea el eje tras detectar desgaste anormal del rodamiento en el alabe del rotor.
Parque Solar Media Luna,2024-06-26,correctivo,56,Se repara el conjunto y se realiza la puesta en marcha tras detectar una reparacion mayor pendiente en el repuesto critico de bodega.
Parque Solar Salar Nuevo,2024-06-26,correctivo,33,El operador reporta reincidencia de la falla anterior; se revisa el repuesto critico de bodega y se completa la reparacion dentro del plazo comprometido.
Eolica Vientos del Sur,2024-06-27,evento_climatico,27,El operador reporta una tormenta electrica en la zona; se revisa el sistema de orientacion y se inspecciona la estructura despues del frente de mal tiempo.
Eolica Vientos del Sur,2024-06-27,falla_mecanica,37,El operador reporta perdida de presion de aceite; se revisa el alabe del rotor y se cambia el sello y se verifica la estanqueidad.
Termoelectrica Peninsula Gris,2024-06-27,evento_climatico,29,Se inspecciona la estructura despues del frente de mal tiempo tras detectar nevada intensa en el acceso en el aerogenerador del sector norte.
Central Rio Manso Alto,2024-06-30,preventivo,10,Se cambia el aceite y el filtro segun la pauta del fabricante tras detectar las horas de operacion acumuladas en la pauta de rutina trimestral.
Termoelectrica Valle Central,2024-06-30,correctivo,67,Indisponibilidad forzada de la unidad en la unidad fuera de servicio. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Diesel Respaldo Cordillera,2024-07-01,inspeccion,3,Durante el turno: una observacion levantada en auditoria en la medicion de espesores; se documenta el hallazgo y se emite el informe correspondiente.
Eolica Vientos del Sur,2024-07-01,evento_climatico,19,Se despeja el acceso tras la nevada y se revisa la torre tras detectar una tormenta electrica en la zona en la torre de medicion de viento.
Central Lago Ventisquero,2024-07-02,inspeccion,5,Se detecta una lectura dentro de tolerancia en la medicion de espesores; se completa el checklist sin desviaciones relevantes.
Eolica Vientos del Sur,2024-07-02,falla_mecanica,17,Se registra desgaste anormal del rodamiento en la caja multiplicadora durante la ronda del turno.
Termoelectrica Valle Central,2024-07-02,falla_mecanica,74,Se reemplaza el rodamiento y se realinea el eje tras detectar desgaste anormal del rodamiento en el acoplamiento del generador.
Central Salto del Pehuen,2024-07-03,correctivo,37,Indisponibilidad forzada de la unidad en el repuesto critico de bodega. Se instala el repuesto y se ejecutan las pruebas de normalizacion.
Eolica Cerro Negro,2024-07-03,preventivo,11,El operador reporta las horas de operacion acumuladas; se revisa el circuito de aceite y se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Puerto Nuevo,2024-07-04,evento_climatico,9,Durante el turno: rafagas de viento sobre el limite operativo en la torre de medicion de viento; se inspecciona la estructura despues del frente de mal tiempo.
Parque Solar Cerro Dorado,2024-07-05,evento_climatico,26,Se registra lluvia y humedad extrema en el sistema de orientacion durante la ronda del turno.
Parque Solar Salar Nuevo,2024-07-05,falla_electrica,40,Se registra un cortocircuito monofasico en el interruptor principal durante la ronda del turno.
Central Lago Ventisquero,2024-07-06,evento_climatico,21,Evento por lluvia y humedad extrema en la torre de medicion de viento; se detiene la unidad por viento y se espera mejor tiempo.
Central Lago Ventisquero,2024-07-06,falla_mecanica,50,Evento por desalineamiento del acoplamiento en el rodamiento del eje principal; se cambia el sello y se verifica la estanqueidad.
Central Vega Escondida,2024-07-06,preventivo,13,El operador reporta el cumplimiento del programa de mantenimiento; se revisa el circuito de aceite y se ajusta el torque de los pernos y se limpia el tablero.
Diesel Respaldo Cordillera,2024-07-06,correctivo,66,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar la espera de un repuesto importado en la cuadrilla de intervencion.
Parque Solar Cerro Dorado,2024-07-06,preventivo,5,Las horas de operacion acumuladas en la pauta de rutina trimestral. Se cambia el aceite y el filtro segun la pauta del fabricante.
Termoelectrica Peninsula Gris,2024-07-06,preventivo,4,Se ajusta el torque de los pernos y se limpia el tablero tras detectar el ciclo de limpieza programado en el tablero de control.
Central Rio Manso Alto,2024-07-07,preventivo,7,Durante el turno: el ciclo de limpieza programado en el plan anual de la unidad; se ajusta el torque de los pernos y se limpia el tablero.
Termoelectrica Valle Central,2024-07-07,falla_electrica,28,El operador reporta un cortocircuito monofasico; se revisa la barra de media tension y se reemplaza el rele y se recalibra la proteccion.
Eolica Punta Ventosa,2024-07-08,evento_climatico,21,Durante el turno: granizo sobre la estructura en la torre de medicion de viento; se descongelan las palas antes de reanudar la operacion.
Eolica Vientos del Sur,2024-07-08,evento_climatico,13,Se detecta granizo sobre la estructura en el aerogenerador del sector norte; se descongelan las palas antes de reanudar la operacion.
Parque Solar Salar Nuevo,2024-07-08,correctivo,44,Durante el turno: la espera de un repuesto importado en la unidad fuera de servicio; la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Termoelectrica Peninsula Gris,2024-07-08,correctivo,26,Indisponibilidad forzada de la unidad en el conjunto reparado en terreno. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Diesel Respaldo Cordillera,2024-07-09,inspeccion,1,Durante el turno: un hallazgo menor sin indisponibilidad en el parametro fuera de tolerancia; se levanta la observacion y se programa el seguimiento.
Termoelectrica Valle Central,2024-07-09,correctivo,11,Evento por la espera de un repuesto importado en el modulo reemplazado; se completa la reparacion dentro del plazo comprometido.
Parque Solar Media Luna,2024-07-10,falla_mecanica,17,El operador reporta desalineamiento del acoplamiento; se revisa el alabe del rotor y se reemplaza el rodamiento y se realinea el eje.
Parque Solar Media Luna,2024-07-10,inspeccion,6,Se registra una observacion levantada en auditoria en la endoscopia del ducto durante la ronda del turno.
Termoelectrica Bahia Norte,2024-07-10,inspeccion,6,El operador reporta un hallazgo menor sin indisponibilidad; se revisa la medicion de espesores y se levanta la observacion y se programa el seguimiento.
Termoelectrica Peninsula Gris,2024-07-11,falla_mecanica,31,El operador reporta temperatura elevada en el descanso; se revisa el sistema de refrigeracion y se equilibra el rotor y se repite la medicion de vibracion.
Central Quebrada Azul,2024-07-12,inspeccion,3,Se registra una desviacion leve del parametro medido en el informe de termografia durante la ronda del turno.
Termoelectrica Valle Central,2024-07-12,falla_electrica,3,Evento por el disparo de la proteccion diferencial en el transformador de poder; se reemplaza el rele y se recalibra la proteccion.
Eolica Cerro Negro,2024-07-13,preventivo,7,Evento por las horas de operacion acumuladas en el tablero de control; se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Cerro Dorado,2024-07-13,falla_electrica,20,Se registra una caida brusca de tension en el interruptor principal durante la ronda del turno.
Termoelectrica Peninsula Gris,2024-07-13,preventivo,8,El operador reporta el vencimiento de la pauta periodica; se revisa el tablero de control y se cambia el aceite y el filtro segun la pauta del fabricante.
Parque Solar Cerro Dorado,2024-07-14,correctivo,44,Evento por la espera de un repuesto importado en el modulo reemplazado; la cuadrilla interviene en terreno y devuelve la unidad al despacho.
Parque Solar Llano Blanco,2024-07-14,correctivo,24,Reincidencia de la falla anterior en el repuesto critico de bodega. La cuadrilla interviene en terreno y devuelve la unidad al despacho.
Termoelectrica Peninsula Gris,2024-07-14,inspeccion,1,Se registra la medicion en la ficha de la unidad tras detectar una observacion levantada en auditoria en el informe de termografia.
Eolica Loma Larga,2024-07-15,correctivo,14,Se instala el repuesto y se ejecutan las pruebas de normalizacion tras detectar una reparacion mayor pendiente en el modulo reemplazado.
Eolica Vientos del Sur,2024-07-15,evento_climatico,9,Se detecta rafagas de viento sobre el limite operativo en el aerogenerador del sector norte; se descongelan las palas antes de reanudar la operacion.
Termoelectrica Valle Central,2024-07-15,falla_mecanica,47,Se detecta temperatura elevada en el descanso en el sistema de refrigeracion; se equilibra el rotor y se repite la medicion de vibracion.
Central Quebrada Azul,2024-07-16,falla_mecanica,41,El operador reporta temperatura elevada en el descanso; se revisa el rodamiento del eje principal y se purga el circuito de lubricacion y se ajusta el torque.
Eolica Vientos del Sur,2024-07-16,evento_climatico,12,Durante el turno: acumulacion de hielo en las palas en la linea de evacuacion; se descongelan las palas antes de reanudar la operacion.
Eolica Vientos del Sur,2024-07-16,falla_mecanica,92,Fatiga del material en el alabe en el acoplamiento del generador. Se equilibra el rotor y se repite la medicion de vibracion.
Eolica Punta Ventosa,2024-07-17,evento_climatico,6,Se detiene la unidad por viento y se espera mejor tiempo tras detectar rafagas de viento sobre el limite operativo en la linea de evacuacion.
Central Vega Escondida,2024-07-18,preventivo,12,Durante el turno: el vencimiento de la pauta periodica en el tablero de control; se ejecuta la rutina programada y se actualiza el calendario.
